2017-03-24-6-08-15p.m.,1490350095643,1003.199,84.01638,3
2017-03-24-6-08-16p.m.,1490350096723,1003.22217,83.823494,3
2017-03-24-6-08-17p.m.,1490350097808,1003.2632,83.477356,3
2017-03-24-6-08-18p.m.,1490350098883,1003.2976,83.189354,3
2017-03-24-6-08-20p.m.,1490350100478,1003.27026,83.41923,3
2017-03-24-6-08-21p.m.,1490350101583,1003.2827,83.31618,3
2017-03-24-6-08-22p.m.,1490350102665,1003.2866,83.28183,3
2017-03-24-6-08-23p.m.,1490350103743,1003.29126,83.242195,3
2017-03-24-6-08-24p.m.,1490350104832,1003.1504,84.425934,3
2017-03-24-6-08-25p.m.,1490350105916,1003.3003,83.16821,3
2017-03-24-6-08-27p.m.,1490350107123,1003.30664,83.112724,3
2017-03-24-6-08-28p.m.,1490350108245,1003.2949,83.213135,3
2017-03-24-6-08-29p.m.,1490350109322,1003.312,83.06781,3
2017-03-24-6-08-30p.m.,1490350110405,1003.2761,83.369026,3
2017-03-24-6-08-31p.m.,1490350111482,1003.25977,83.506424,3
2017-03-24-6-08-32p.m.,1490350112562,1003.27295,83.39545,3
2017-03-24-6-08-33p.m.,1490350113641,1003.27075,83.41659,3
2017-03-24-6-08-34p.m.,1490350114722,1003.22754,83.77858,3
2017-03-24-6-08-35p.m.,1490350115803,1003.2219,83.82614,3
2017-03-24-6-08-36p.m.,1490350116883,1003.25366,83.55927,3
2017-03-24-6-08-37p.m.,1490350117964,1003.2175,83.86313,3
2017-03-24-6-08-39p.m.,1490350119044,1003.2258,83.791794,3
2017-03-24-6-08-40p.m.,1490350120123,1003.23193,83.741585,3
2017-03-24-6-08-41p.m.,1490350121203,1003.2175,83.86313,3
2017-03-24-6-08-42p.m.,1490350122282,1003.18506,84.135284,3
2017-03-24-6-08-43p.m.,1490350123362,1003.22485,83.79971,3
2017-03-24-6-08-44p.m.,1490350124454,1003.22485,83.79971,3
2017-03-24-6-08-45p.m.,1490350125522,1003.1858,84.12736,3
2017-03-24-6-08-46p.m.,1490350126602,1003.1914,84.079796,3
2017-03-24-6-08-47p.m.,1490350127684,1003.1931,84.06659,3
2017-03-24-6-08-48p.m.,1490350128762,1003.1909,84.08508,3
2017-03-24-6-08-49p.m.,1490350129842,1003.1887,84.10358,3
2017-03-24-6-08-50p.m.,1490350130923,1003.1797,84.18021,3
2017-03-24-6-08-52p.m.,1490350132003,1003.23755,83.69402,3
2017-03-24-6-08-53p.m.,1490350133083,1003.23315,83.73102,3
2017-03-24-6-08-54p.m.,1490350134166,1003.2095,83.92919,3
2017-03-24-6-08-55p.m.,1490350135245,1003.21094,83.91598,3
2017-03-24-6-08-56p.m.,1490350136323,1003.1992,84.01638,3
2017-03-24-6-08-57p.m.,1490350137403,1003.20557,83.96089,3
2017-03-24-6-08-58p.m.,1490350138486,1003.1826,84.15378,3
2017-03-24-6-08-59p.m.,1490350139563,1003.18896,84.10094,3
2017-03-24-6-09-00p.m.,1490350140644,1003.1958,84.04545,3
